timestamp_s,index,middle,ring,thumb
0.005661,1002,623,213,0
0.057059,104,0,808,1000
0.103100,0,976,1004,405
0.119298,856,336,224,0
0.119385,706,1000,942,326
0.119447,0,916,1002,722
0.119502,58,0,984,1004
0.119552,180,435,994,963
0.119608,686,271,203,972
0.119668,1007,392,808,1000
0.119731,1005,642,335,79
0.119789,1006,323,156,0
0.119847,615,0,0,954
0.119893,288,0,0,932
0.119938,856,390,73,0
0.119984,996,814,265,0
0.120033,883,493,100,0
0.120083,0,980,1002,475
0.120135,0,576,993,924
0.120184,960,997,486,329
0.123622,784,1000,676,475
0.129534,0,0,461,996
0.135529,825,1002,621,537
0.160480,0,978,963,718
0.160579,0,0,407,996
0.160628,992,838,276,476
0.160684,992,834,225,477
0.165612,867,484,15,424
0.171539,868,1002,658,483
0.201589,489,996,1005,631
0.201691,1004,768,457,52
0.201750,997,451,357,0
0.201800,976,1004,704,1
0.201852,992,928,520,0
0.207517,0,2,160,960
0.229145,0,960,1002,414
0.229225,0,924,1000,557
0.229282,968,965,457,182
0.231514,740,1000,693,351
0.237532,968,945,404,253
0.243657,870,551,147,182
0.270420,0,2,0,311
0.270515,0,0,932,1002
0.270568,27,308,161,180
0.270625,15,338,243,185
0.273565,0,2,212,215
0.279510,0,0,906,1001
0.301949,282,534,513,187
0.302031,137,417,525,144
0.302093,5,173,462,128
0.303514,354,464,513,201
0.309530,369,402,476,236
0.315574,594,1000,838,402
0.341552,640,1000,828,429
0.341663,0,976,1004,630
0.341728,157,365,204,241
0.341789,0,152,247,992
0.345557,296,217,14,345
0.351555,1004,573,105,214
0.374346,1001,906,292,234
0.374493,677,622,993,949
0.374558,1006,459,12,345
0.376443,545,382,992,936
0.382453,519,203,982,962
0.388452,509,32,912,1002
0.413992,759,243,4,705
0.414075,335,980,1004,503
0.414132,783,313,44,279
0.414182,886,403,110,0
0.418467,16,977,1003,526
0.424469,491,208,77,0
0.445477,351,155,145,0
0.445545,0,752,1000,722
0.445599,111,992,1005,355
0.448470,147,95,372,768
0.454451,720,1000,923,337
0.460465,155,112,932,1002
0.484757,1006,870,499,210
0.484838,980,597,256,968
0.484899,912,1004,928,471
0.485055,671,972,1003,711
0.490537,669,985,980,547
0.496554,767,994,874,384
0.518433,970,1002,538,224
0.518516,1002,875,0,0
0.518567,1000,945,6,48
0.520505,1006,623,0,419
0.526523,965,264,784,1001
0.532534,790,978,775,382
0.557635,627,932,922,404
0.557720,982,992,81,0
0.557771,934,306,0,0
0.557818,130,504,992,759
0.562529,845,303,0,0
0.568538,210,12,636,996
0.590929,473,110,0,648
0.591006,801,267,141,0
0.591070,983,417,238,0
0.592527,944,1004,689,55
0.598551,8,652,996,826
0.604550,1001,659,329,0
0.630634,131,72,32,848
0.630710,29,60,0,960
0.630760,252,124,0,630
0.630816,0,768,998,883
0.634489,880,1002,633,379
0.640485,81,87,976,1004
0.663115,202,37,969,1004
0.663194,998,916,200,366
0.663258,288,920,1002,863
0.664519,1004,721,243,259
0.670552,484,164,163,988
0.676564,1002,972,597,258
0.702522,1005,782,480,128
0.702603,778,284,234,960
0.702666,996,436,204,0
0.702721,680,996,964,426
0.706560,998,901,302,163
0.712534,96,940,1002,768
0.735689,944,427,50,148
0.735864,262,105,0,143
0.735923,11,43,16,792
0.736545,0,0,852,1000
0.742602,592,1000,884,237
0.748626,0,4,136,808
0.774806,0,0,944,1001
0.774878,0,585,994,796
0.774935,816,1000,729,94
0.774995,0,69,64,888
0.778550,812,1001,752,55
0.784550,0,932,1000,565
0.807529,0,486,994,986
0.807601,940,1006,963,483
0.807668,928,1006,1006,655
0.808556,1002,1008,665,353
0.814545,296,968,1006,920
0.820627,479,996,1005,692
0.847139,256,249,0,970
0.847215,980,990,321,272
0.847277,96,27,0,704
0.847473,0,0,0,756
0.850525,742,205,0,104
0.856586,0,960,1002,594
0.879670,0,0,610,996
0.879736,0,0,48,776
0.879783,782,371,186,11
0.880480,824,1001,764,309
0.886474,1001,658,214,151
0.892477,181,141,0,968
0.919805,85,984,1004,680
0.919888,491,215,84,96
0.919945,144,906,1003,912
0.920011,751,359,213,80
0.922531,128,964,1004,781
0.928564,649,293,155,16
0.951589,104,952,1004,712
0.951670,264,139,271,984
0.951733,497,230,132,371
0.952530,739,341,125,0
0.958554,1002,644,204,0
0.964601,192,80,858,1001
0.990534,1003,582,160,0
0.990608,345,156,28,307
0.990669,0,592,994,967
0.990724,744,336,269,0
0.994537,1000,680,448,36
1.000537,0,949,1002,629
1.023594,797,349,273,30
1.023668,0,561,996,912
1.023724,0,960,1002,632
1.024528,1000,757,400,89
1.030518,5,76,365,988
1.036516,0,938,1002,711
1.062577,1000,592,265,25
1.062659,56,107,128,976
1.062718,1002,662,365,103
1.062782,528,1000,955,387
1.066557,0,5,80,864
1.072514,0,51,64,896
1.095705,948,1004,664,9
1.095843,0,106,688,996
1.095902,880,1004,793,305
1.096545,93,132,840,1001
1.102533,0,962,1004,806
1.108566,711,276,201,600
1.135119,836,1002,793,572
1.135209,0,0,940,1004
1.135263,984,908,440,398
1.135324,0,0,736,1000
1.138556,0,391,992,971
1.144512,0,0,968,1004
1.168028,0,0,64,968
1.168089,972,611,338,222
1.168153,800,1001,814,368
1.168485,776,1000,883,345
1.174516,976,984,684,178
1.180586,996,834,531,106
1.207236,136,916,1002,757
1.207323,242,618,998,984
1.207386,257,964,1004,807
1.207933,496,128,960,1006
1.210544,960,1004,884,535
1.216643,1005,667,551,428
1.239821,1004,1008,722,420
1.239904,1010,1015,822,1001
1.239977,1009,575,19,275
1.241509,1010,0,0,0
1.247517,1010,0,437,1
1.253445,1010,0,1010,0
1.280319,1010,1011,0,0
1.280390,1010,1011,1010,0
1.280455,1010,1011,1010,0
1.280519,1010,1011,1010,0
1.283468,1010,1011,1010,0
1.289456,1010,1011,1010,0
1.313362,1010,1011,1010,0
1.313447,1010,1011,1010,0
1.313514,1010,1011,1010,0
1.313578,1010,1011,1010,0
1.319572,1011,1011,1010,1010
1.325756,1011,551,1009,1011
1.352664,1010,0,1010,1011
1.352759,1010,0,1010,1011
1.352830,1010,0,1010,1011
1.352894,1010,0,1010,1011
1.356520,0,0,1010,1011
1.362494,0,0,1010,1011
1.384364,0,0,1008,429
1.384431,0,0,1010,0
1.384473,0,0,1010,0
1.385511,0,0,194,0
1.391505,0,0,0,487
1.397494,0,0,0,996
1.422297,0,0,0,1010
1.422354,0,0,0,1011
1.422396,0,0,0,1011
1.422437,0,0,0,1011
1.426491,0,0,0,1011
1.432565,0,371,0,1013
1.455222,0,1011,0,1011
1.455338,0,1011,0,1011
1.455401,0,1011,0,1011
1.456473,0,1011,0,1010
1.462460,0,1011,0,1011
1.468456,664,1013,0,1009
1.494053,1010,1011,0,1010
1.494133,1010,1011,0,1010
1.494196,1010,1011,0,1010
1.494257,1010,1011,0,1010
1.498546,1010,1011,0,1010
1.504549,1010,1011,0,1010
1.527635,1010,1011,0,1010
1.527712,1010,787,0,1010
