timestamp_s,index,middle,ring,thumb
0.004204,105,0,0,880
0.051594,0,628,996,806
0.098155,227,0,776,1000
0.114279,231,0,932,1003
0.114370,413,0,0,720
0.114418,980,919,487,1
0.114471,139,0,720,1000
0.114525,640,996,869,211
0.114584,875,170,139,0
0.114635,222,0,128,874
0.114686,462,0,256,716
0.114736,113,972,1004,434
0.114797,317,0,948,1002
0.114851,412,128,968,1000
0.114911,422,808,1000,722
0.114970,1004,733,127,0
0.115024,962,1004,670,14
0.115081,1015,1004,999,494
0.115202,1002,1008,675,160
0.116284,1012,1010,1009,373
0.123266,1011,1013,1008,670
0.129187,1010,1011,1011,700
0.154017,1008,1011,1010,455
0.154123,1013,1011,1009,602
0.154193,1009,1011,1010,650
0.154263,1008,1011,1011,673
0.160181,806,1011,1011,212
0.166197,924,1008,1010,245
0.195859,0,1011,1010,91
0.195996,0,1008,1002,594
0.196064,0,466,0,852
0.196111,0,41,0,0
0.196148,0,0,0,820
0.201293,0,776,996,746
0.222313,0,626,994,849
0.222397,960,472,0,427
0.222449,0,0,0,895
0.225208,0,0,756,1000
0.231175,426,0,0,300
0.237172,0,0,960,992
0.260943,4,0,0,738
0.261011,0,0,0,0
0.261045,0,650,994,757
0.261094,993,2,0,70
0.266235,0,802,977,712
0.272241,665,0,0,128
0.293919,1000,1,0,139
0.294011,142,0,756,1000
0.294072,760,984,311,215
0.296287,0,612,994,712
0.302287,0,235,986,836
0.308210,0,800,960,649
0.332279,0,0,768,1000
0.332354,978,0,0,48
0.332399,980,0,0,75
0.332441,0,0,976,896
0.337233,0,3,808,856
0.343224,3,0,0,952
0.364578,0,0,0,1001
0.364648,0,0,155,977
0.364763,616,3,0,484
0.367162,124,0,0,992
0.372232,978,0,0,412
0.378232,669,0,0,944
0.403551,800,0,0,960
0.403630,896,5,0,709
0.403679,964,3,11,594
0.403736,0,916,1004,794
0.408192,64,972,1008,883
0.414197,541,0,1010,1023
0.436114,242,165,1002,1008
0.436207,363,1002,1009,1011
0.436279,512,1010,1010,1011
0.438286,0,1011,1010,1011
0.444295,0,1011,1010,1011
0.451167,0,1011,1010,1011
0.475539,0,1011,1010,1011
0.475631,1010,1011,1010,1011
0.475699,1010,1011,1010,1011
0.475763,1010,1011,1010,1011
0.481312,1010,1011,1010,0
0.487258,1010,1011,1010,0
0.507880,1010,1011,1010,0
0.507971,1013,1010,1010,525
0.508039,1009,1010,1010,625
0.512204,0,1012,1008,644
0.518279,0,1010,1010,307
0.524210,0,1011,1010,52
0.548383,0,1010,1010,175
0.548462,0,1011,1010,0
0.548517,0,1011,1010,0
0.548570,0,1011,1010,0
0.554201,0,125,1010,0
0.560230,0,0,749,0
0.582798,0,0,0,0
0.582856,0,0,0,0
0.582891,0,0,0,0
0.583214,605,1,0,0
0.589152,1010,0,0,0
0.594211,1010,0,0,0
0.619699,1010,0,0,0
0.619781,1009,0,0,179
0.619832,1011,0,0,708
0.619881,1011,0,0,690
0.624253,1011,0,0,741
0.630188,1011,0,0,838
0.652383,1012,0,0,584
0.652454,1010,0,0,1001
0.652511,1011,0,0,1011
0.654164,1011,0,0,1011
0.660170,1011,0,0,1011
0.665248,1011,0,1010,1011
0.692089,244,1012,1008,1011
0.692182,710,1011,1011,1013
0.692256,782,1009,1010,1012
0.692326,1010,1011,1010,1011
0.696297,1010,1011,1010,912
0.702284,1010,1011,1010,0
0.724583,1010,1011,0,0
0.724654,586,1009,0,0
0.724795,0,1011,0,0
0.726253,1004,1010,1010,1013
0.732385,1006,1011,1012,1011
0.739192,69,1013,1010,1009
0.765549,0,1011,1010,1011
0.765637,0,1010,1010,691
0.765699,0,1011,110,726
0.765756,127,1002,224,407
0.769219,0,0,0,198
0.775199,0,0,0,960
0.796785,0,0,0,0
0.796840,0,0,0,0
0.796877,0,0,0,0
0.798188,0,0,0,0
0.803231,0,0,0,0
0.809235,637,0,0,0
0.835331,1010,0,0,0
0.835398,1011,0,1,544
0.835450,1010,0,0,0
0.835504,1010,0,0,0
0.838295,1010,0,0,0
0.844247,1010,0,0,0
0.866969,1010,0,0,0
0.867035,1010,0,0,0
0.867083,1010,0,0,0
0.868209,1010,0,0,0
0.873254,1010,0,0,0
0.879260,1010,0,0,0
0.905856,1013,1008,1,485
0.905943,1008,1011,0,575
0.906005,1015,1008,593,1004
0.906081,1010,1014,817,1009
0.910171,1012,1011,1008,1010
0.916222,1010,1011,1010,1011
0.939415,1010,1011,1010,1011
0.939507,1010,1011,1010,1011
0.939583,1010,1011,1010,1011
0.941187,1011,1011,1010,1011
0.947200,1010,1011,1010,1011
0.953232,0,0,1010,1011
0.980477,0,0,1010,1011
0.980562,0,0,1010,1011
0.980619,0,0,1010,1011
0.980674,0,0,1010,1011
0.983195,0,0,1010,1011
0.989195,0,0,1010,1011
1.012460,0,0,1010,1011
1.012541,0,1011,1010,1011
1.012607,0,1011,1010,1011
1.013207,0,1011,1010,1011
1.019222,0,1011,1010,1011
1.025213,0,1011,1010,1011
1.053053,0,1011,1010,1011
1.053169,0,1011,1010,1011
1.053235,1010,1011,1010,1011
1.053306,731,1011,1013,1010
1.056144,0,1011,1010,1011
1.062168,0,1011,1010,1011
1.085381,0,1011,1010,0
1.085462,0,1011,1010,0
1.085626,1009,1011,1010,0
1.086220,1010,1011,1010,0
1.092170,1010,1011,1010,0
1.098212,1010,1011,1010,0
1.125640,1010,1011,651,0
1.125730,829,1011,0,0
1.125783,98,1014,1,0
1.125831,0,0,0,0
1.128143,370,0,0,0
1.133250,593,0,0,0
1.156531,55,0,0,0
1.156594,0,0,0,0
1.156630,0,0,0,0
1.156665,0,0,0,0
1.162279,0,0,0,0
1.168261,0,0,0,0
1.195516,84,0,1,0
1.195592,987,0,0,0
1.195635,896,0,0,0
1.195676,1010,0,0,0
1.197360,1010,0,0,0
1.203219,1010,0,0,0
1.225449,1010,0,0,0
1.225521,1010,0,0,0
1.225567,1011,0,1,478
1.226271,1011,0,0,749
1.232270,1010,0,0,495
1.238242,1009,0,0,523
1.265276,1009,0,0,892
1.265373,1012,0,0,785
1.265427,1010,0,0,980
1.265476,1011,0,0,1000
1.268194,1011,0,0,1011
1.274198,1002,457,307,991
1.297452,992,1008,763,905
1.297539,819,1010,1010,1011
1.297608,835,1011,1011,1014
1.298212,252,1011,1013,1012
1.304317,21,1013,1008,1010
1.310264,114,1009,1010,1011
1.337569,8,799,1004,1009
1.337658,904,740,1011,1011
1.337730,0,0,1010,1011
1.337783,0,0,1010,1011
1.341158,0,0,1010,1011
1.347183,0,0,1010,1011
1.369901,0,0,1010,1011
1.369984,0,0,1010,1011
1.370038,0,0,1010,1011
1.370267,0,1011,1010,1011
1.376266,0,1011,1011,1011
1.382332,1010,1011,1010,1011
1.410578,1010,1011,1010,1011
1.410687,1010,1011,1010,1011
1.410760,0,1011,1010,1011
1.410824,0,1011,1010,1011
1.413272,0,1011,1010,1011
1.419276,1010,1011,1010,1011
1.442755,1010,1011,1010,1011
1.442863,1010,1011,1010,1011
1.443007,1010,1011,1010,1011
1.444259,1010,1011,1010,1011
1.450278,1010,1011,0,1011
1.456307,1011,1011,0,1010
1.483829,985,1012,0,1010
1.483915,0,1011,0,113
1.483964,0,1011,0,0
1.484007,0,1011,0,0
1.486268,0,1011,0,0
1.492274,0,0,0,0
1.515462,0,0,0,0
1.515520,0,0,0,0
1.515556,0,0,0,0
1.515590,0,0,0,0
1.521175,0,0,0,0
1.526176,0,0,0,0
1.551883,0,0,0,0
1.551938,950,0,0,0
1.551982,881,0,0,0
1.552023,752,0,0,0
1.555280,957,0,0,0
1.561218,698,0,0,0
1.583985,1010,0,1010,0
1.584054,1007,0,1012,0
1.584108,623,0,1011,0
1.585175,0,672,1004,595
1.591153,587,107,1010,100
1.597182,737,1006,1010,274
1.623044,701,1004,1008,282
1.623130,1010,1010,1010,156
1.623200,1010,1011,1010,0
1.623262,522,1008,1010,0
1.627254,610,1011,1010,0
1.633317,440,204,260,0
1.656236,65,0,0,668
1.656298,573,0,0,1
1.656341,891,0,0,0
1.657186,671,0,0,0
1.663149,1005,0,0,0
1.668206,767,960,705,0
1.694578,904,802,201,0
1.694657,267,0,0,0
1.694701,222,0,0,0
1.694743,1002,579,297,243
1.698273,695,465,176,352
1.704250,480,627,16,948
1.727768,1000,1009,213,449
1.727853,930,1006,486,602
1.727919,736,1011,0,800
1.728247,615,940,0,976
1.734239,245,532,0,668
1.740244,752,599,0,0
1.766766,149,337,0,0
1.766838,1,205,0,716
1.766893,48,59,0,832
1.766942,803,155,0,0
1.770170,709,0,0,0
1.775335,790,0,0,0
1.798614,304,0,524,996
1.798682,346,696,470,432
1.798811,752,0,0,768
1.799291,960,1002,0,3
1.805249,608,0,0,952
1.811225,268,0,876,998
1.838769,393,0,0,772
1.838834,840,0,0,304
1.838882,0,597,925,960
1.838935,0,401,992,1008
1.841150,826,727,661,782
1.847155,962,58,879,680
1.870482,0,0,1010,1011
1.870552,0,0,1008,920
1.870603,0,0,988,876
1.870649,0,0,64,768
1.876239,904,15,412,0
1.882247,0,0,948,1001
1.909216,187,980,896,372
1.909295,0,0,994,985
1.909343,0,518,1004,1004
1.909402,0,1011,1010,1011
1.912361,0,1011,1010,1011
1.918329,0,1011,1010,1011
1.942305,0,1011,1010,1011
1.942384,309,1008,1010,1011
1.942458,1010,1011,1010,1011
1.943196,1010,1011,1010,1011
1.949221,1010,1011,1010,0
1.955255,1010,1011,1010,0
1.982283,1010,1011,1010,1011
1.982376,1010,1011,1010,1011
1.982447,1011,1011,1010,1011
1.982517,0,1011,1010,1011
1.986184,0,1011,1010,1011
1.992211,0,1011,1010,1011
2.015810,0,1011,1010,1011
2.015890,0,1011,112,1010
2.015953,0,1011,0,1011
2.016192,0,1011,0,1011
2.022195,0,0,0,0
2.028139,0,0,0,0
2.054217,0,0,0,0
2.054273,0,0,0,0
2.054309,0,0,0,0
2.054343,836,0,0,0
2.056263,1010,0,0,0
2.062258,1010,0,0,0
2.086099,1010,0,0,0
2.086160,1010,0,0,0
2.086206,1010,0,0,0
2.086251,1010,0,0,0
2.091268,1010,1012,1012,471
2.098172,1012,1009,1010,470
2.125030,1010,1011,1010,258
2.125123,1010,1011,1010,116
2.125190,1011,1010,1010,339
2.125259,1009,1010,1010,637
2.128261,1010,1011,1010,1011
2.135181,1011,1011,1010,1011
2.159185,1010,1011,1010,1011
2.159277,1010,1011,1010,1011
2.159431,1010,1012,0,1008
2.159500,1008,1011,0,296
2.165259,1010,1011,0,0
2.171285,113,1011,0,0
2.197992,0,1011,0,0
2.198052,0,0,0,0
2.198086,0,0,0,0
2.198119,0,0,0,0
2.200204,0,0,0,0
2.206233,354,0,0,0
2.229517,1009,0,0,0
2.229575,1010,0,0,0
2.229620,1010,0,0,593
2.229670,1009,0,0,450
2.235234,1014,0,0,716
2.241209,992,0,0,476
2.267886,564,0,0,1002
2.267957,235,0,0,1002
2.268009,0,7,265,861
2.268057,948,1,0,586
2.271226,948,2,0,420
2.277150,972,2,0,127
2.298115,1006,0,0,0
2.298175,1010,0,0,0
2.298216,1010,0,0,0
2.300211,1010,0,0,0
2.306232,1010,1011,0,0
2.312192,1011,1009,0,376
2.337785,1012,1011,0,833
2.337858,1011,1011,0,1011
2.337919,1010,1011,346,1011
2.337985,1010,1010,670,1012
2.342234,1012,1011,1006,1011
2.348253,1009,1011,766,1010
2.372459,1011,1010,673,1011
2.372540,1013,1012,684,1010
2.372609,1011,1011,0,1011
2.373244,1011,1011,0,1011
2.379230,0,1009,952,1012
2.385220,0,129,1010,1011
2.411840,0,0,1010,1011
2.411910,0,0,1010,1011
2.411965,0,0,1010,1011
2.412017,0,0,99,1011
2.415223,0,0,0,1011
2.421179,0,0,0,1011
2.444959,0,0,0,1011
2.445020,0,0,0,1011
2.445066,0,0,1010,1011
2.445119,0,1011,1012,880
2.450292,0,1011,1010,0
2.456234,0,1011,1010,0
2.482828,0,1011,1010,0
2.482901,0,1011,1010,0
2.482956,0,1011,1010,0
2.483008,0,1011,1010,0
2.486251,0,1011,1010,1011
2.492250,1010,1011,1010,1011
2.516091,1011,1011,1010,1011
2.516173,1012,1011,1009,837
2.516297,0,1011,1010,0
2.517174,0,1011,1010,0
2.523150,0,1011,1010,0
2.529159,0,1011,1010,0
2.556401,0,1011,1010,0
2.556476,0,1011,1010,0
2.556530,0,1011,1010,0
2.556583,0,0,1010,0
2.558211,0,0,1010,0
2.564274,0,0,932,998
2.588422,1008,0,0,952
2.588488,1011,0,0,640
2.588542,1011,0,0,0
2.588587,1010,0,0,0
