timestamp_s,index,middle,ring,thumb
0.004768,164,840,1002,986
0.053162,960,1008,763,345
0.098478,1004,546,253,135
0.115354,584,252,149,96
0.115441,90,319,992,1005
0.115508,1000,929,455,228
0.115566,594,247,151,96
0.115617,144,47,976,1005
0.115671,857,1004,900,425
0.115726,1004,660,314,126
0.115784,436,191,112,7
0.115832,108,39,964,1004
0.115885,978,1006,629,225
0.115943,854,392,179,56
0.115997,254,122,64,936
0.116050,64,884,1002,877
0.116103,71,21,195,985
0.116150,226,100,32,808
0.116201,209,90,32,940
0.118613,175,86,237,988
0.124729,93,391,992,1005
0.130625,251,992,1004,628
0.157095,1002,876,399,199
0.157200,651,273,130,96
0.157259,441,187,93,199
0.157326,89,23,972,1004
0.160573,95,984,1004,686
0.166583,992,1004,546,255
0.187931,953,468,226,120
0.188025,699,309,168,88
0.188083,379,166,98,195
0.191520,163,82,619,996
0.197509,124,64,960,1004
0.203510,848,1003,910,401
0.228327,1000,952,468,190
0.228420,1004,535,235,99
0.228483,951,464,208,89
0.228543,920,443,196,88
0.233492,769,343,160,80
0.239537,374,167,85,67
0.261128,253,116,48,912
0.261207,110,40,952,1004
0.261277,64,960,1004,771
0.263486,856,1004,917,431
0.269505,1004,802,360,160
0.275570,952,465,220,125
0.301501,739,316,151,110
0.301614,333,143,80,852
0.301673,32,912,1002,878
0.301742,780,1002,950,487
0.305605,882,400,187,122
0.311627,431,192,103,71
0.335253,196,96,307,992
0.335340,108,39,968,1004
0.335416,33,978,1004,680
0.335568,720,1000,976,467
0.341547,1000,906,437,157
0.347539,969,485,221,66
0.373208,1002,827,392,141
0.373302,954,468,222,71
0.373478,1004,538,246,92
0.373542,1004,735,333,143
0.378478,634,265,116,56
0.384476,472,207,108,65
0.406302,204,92,47,982
0.406374,85,351,992,1005
0.406434,965,1005,715,331
0.408496,1004,716,323,181
0.414501,617,265,130,96
0.420516,192,87,35,976
0.445568,161,85,484,994
0.445653,125,64,946,1004
0.445716,355,992,1004,609
0.445781,992,1005,561,255
0.450520,776,341,162,89
0.456567,313,138,72,768
0.478712,106,32,952,1004
0.478789,207,988,1004,656
0.478854,992,1005,552,229
0.480595,748,328,154,62
0.486865,349,148,74,617
0.492582,150,80,760,1000
0.519445,84,752,998,968
0.519557,944,1004,776,302
0.519628,1002,837,378,152
0.519693,810,365,170,62
0.522640,541,248,125,32
0.528594,305,142,80,864
0.550278,100,31,977,1004
0.550360,882,1004,886,422
0.550422,1001,914,443,240
0.552569,555,236,115,96
0.558571,131,48,912,1004
0.565493,101,43,972,1004
0.590283,856,1004,904,439
0.590369,984,498,216,117
0.590425,655,281,141,88
0.590477,243,102,64,922
0.595480,207,104,99,984
0.601527,126,64,928,1004
0.622914,118,64,978,1004
0.622985,752,1001,964,441
0.623045,1004,742,331,112
0.625568,716,316,143,54
0.631556,250,115,64,880
0.637608,113,40,964,1004
0.662224,880,1004,881,407
0.662311,746,323,150,83
0.662369,265,117,64,840
0.662426,114,64,924,1004
0.667552,98,622,996,1005
0.673574,72,952,1004,810
0.695719,64,981,1004,703
0.695797,64,984,1004,700
0.695858,435,994,1005,602
0.697572,992,1005,574,248
0.703554,773,337,158,78
0.709561,328,134,72,832
0.735137,113,35,966,1004
0.735221,45,968,1004,760
0.735367,155,986,1004,667
0.735435,946,1005,792,373
0.740498,998,960,482,232
0.746511,1004,818,374,184
0.768806,960,480,203,98
0.768882,192,79,23,976
0.768941,162,74,546,994
0.770502,98,307,988,1004
0.776522,928,1004,820,332
0.782533,1004,766,350,123
0.808653,627,275,139,64
0.808731,246,110,64,928
0.808791,106,32,948,1004
0.808852,858,1004,908,435
0.812603,936,1004,831,401
0.818676,1002,870,412,211
0.841076,1004,601,275,160
0.841156,884,410,191,113
0.841234,273,116,64,928
0.842592,127,64,848,1002
0.848687,64,912,1002,869
0.854663,51,976,1004,720
0.881150,696,1000,998,526
0.881249,960,1004,738,322
0.881316,998,947,449,201
0.881377,573,245,119,80
0.885494,227,94,47,980
0.891481,48,904,1002,872
0.914441,712,1000,992,528
0.914526,992,1006,572,242
0.914593,923,433,196,64
0.915551,856,397,190,60
0.921605,829,379,167,39
0.927569,394,173,89,131
0.954197,153,64,852,1002
0.954332,105,509,993,1005
0.954406,64,952,1004,820
0.954470,800,1002,972,472
0.957595,1002,882,419,193
0.963673,781,352,167,96
0.987174,205,91,64,844
0.987253,199,93,319,992
0.987313,110,183,984,1004
0.987606,938,1005,834,355
0.993591,1004,832,387,182
0.999598,701,310,151,80
1.027069,252,126,80,768
1.027161,106,48,972,1004
1.027223,367,992,1004,609
1.027286,1002,897,425,204
1.029605,752,331,165,110
1.036484,140,72,792,1001
1.059609,95,986,1004,638
1.059693,996,976,499,220
1.059754,1004,802,369,162
1.060500,560,237,115,48
1.066509,173,84,724,1000
1.072505,92,776,1000,962
1.099375,952,1004,745,307
1.099464,1004,656,294,127
1.099671,352,160,84,428
1.099730,99,35,962,1004
1.102572,40,964,1004,765
1.108580,1002,853,390,184
1.131550,580,246,114,64
1.131628,112,34,960,1004
1.131688,738,1001,952,450
1.132632,1004,728,318,141
1.138600,312,134,64,800
1.144574,93,513,993,1005
1.172165,784,1002,949,471
1.172263,1000,918,445,229
1.172327,386,168,98,159
1.172383,80,518,993,1005
1.175501,832,1003,919,434
1.181487,1004,756,338,153
1.205102,372,158,74,543
1.205185,130,64,928,1004
1.205249,672,1000,986,493
1.205539,1004,639,276,120
1.211647,576,255,134,72
1.217505,134,68,729,1000
1.245616,72,824,1000,938
1.245726,616,998,1005,526
1.245794,1004,779,355,141
1.245858,608,272,135,64
1.247599,235,110,64,960
1.253598,80,768,1000,956
1.276868,64,952,1004,802
1.276948,868,1004,896,410
1.277013,1004,767,338,150
1.277603,698,290,138,88
1.283594,299,133,72,848
1.289577,100,23,976,1004
1.316639,912,1004,834,385
1.316724,1002,873,409,202
1.316787,731,315,151,90
1.316844,301,136,64,904
1.320482,76,608,996,1005
1.326475,712,1000,985,490
1.349776,1004,731,323,145
1.349858,826,367,169,93
1.349914,336,148,78,602
1.350506,209,105,75,984
1.356563,162,80,808,1001
1.362544,35,980,1004,696
1.388537,984,1005,620,262
1.388627,726,311,144,60
1.388681,292,131,64,888
1.388733,56,832,1000,935
1.392586,107,985,1004,652
1.398566,928,1004,838,374
1.420916,1004,666,298,124
1.420990,1004,576,260,120
1.421051,702,309,139,84
1.422530,316,139,72,852
1.428621,93,21,964,1004
1.434618,118,64,856,1002
1.459837,99,191,985,1005
1.459914,309,992,1004,629
1.460796,998,966,479,214
1.460859,1004,546,247,131
1.465455,801,353,168,96
1.471567,337,145,74,624
1.494283,183,86,490,994
1.494353,101,35,968,1004
1.494413,922,1004,812,358
1.495506,1002,897,430,188
1.501488,649,282,132,64
1.507531,185,83,51,980
1.533770,138,64,874,1002
1.533852,64,896,1002,892
1.533915,858,1004,917,425
1.533978,998,960,476,195
1.537536,1004,611,262,106
1.543617,457,202,98,32
1.567495,253,110,64,848
1.567580,142,72,868,1002
1.567643,87,377,992,1005
1.567705,992,1005,553,243
1.573619,808,360,163,80
1.579632,316,139,72,834
1.607144,109,33,960,1004
1.607232,64,960,1004,779
1.607294,64,976,1004,732
1.607353,80,928,1004,874
1.609608,406,993,1004,602
1.615585,1002,523,229,109
1.638841,725,310,140,72
1.638909,280,117,64,888
1.638967,161,72,824,1001
1.639573,94,159,984,1004
1.645631,43,972,1004,738
1.652550,357,992,1004,630
1.679448,1004,732,314,125
1.679551,624,270,124,64
1.679612,187,87,39,980
1.679666,159,72,824,1001
1.682505,108,61,980,1004
1.688545,506,996,1004,558
1.711906,992,1005,566,242
1.711985,994,1006,560,254
1.712051,1004,680,304,145
1.712580,411,173,76,35
1.718591,210,88,33,968
1.724562,226,100,59,978
1.752102,80,668,996,1004
1.752185,888,1004,877,405
1.752248,994,1005,538,235
1.752310,1002,898,435,196
1.754558,667,289,129,64
1.760614,171,68,24,962
1.784086,140,56,832,1001
1.784165,76,724,998,989
1.784224,71,984,1004,671
1.784563,47,976,1004,741
1.790562,896,1004,870,403
1.796593,984,1005,635,274
1.821127,1000,925,441,194
1.821205,538,235,116,48
1.821313,224,97,43,976
1.821365,64,880,1002,889
1.827494,33,976,1004,730
1.833451,419,994,1004,605
1.855045,997,982,505,226
1.855111,1004,824,384,180
1.855170,1004,621,282,139
1.857505,1004,549,254,135
1.863509,940,457,211,105
1.869534,975,492,223,111
1.894268,937,451,216,105
1.894340,871,402,183,91
1.894394,1004,762,343,169
1.894452,809,364,184,94
1.899576,337,143,78,33
1.905541,162,80,554,996
1.927397,87,466,992,1005
1.927466,133,986,1004,665
1.927525,993,1006,547,236
1.929560,998,960,478,219
1.935608,1002,879,410,183
1.941561,984,472,212,105
1.966126,945,458,214,106
1.966197,762,328,153,70
1.966251,443,194,90,27
1.966300,136,60,612,996
1.971551,176,76,660,998
1.977591,76,497,992,1005
1.999611,36,960,1004,816
1.999680,43,976,1004,753
1.999735,628,998,1005,549
2.002462,978,1005,671,308
2.008483,1002,854,399,188
2.014484,965,485,220,114
2.039111,956,476,227,115
2.039184,777,343,162,88
2.039237,559,246,125,80
2.039288,264,113,64,936
2.044517,127,64,840,1002
2.050501,80,832,1000,958
2.072708,1002,882,317,182
2.072779,149,112,852,1004
2.072837,521,204,57,678
2.074535,763,341,0,256
2.080560,951,463,27,291
2.086533,994,957,467,363
2.111220,221,0,904,1002
2.111290,111,0,968,1004
2.111344,159,0,565,998
2.111393,0,848,1000,858
2.116527,866,254,252,8
2.122596,125,0,583,992
2.144376,159,2,51,970
2.144435,82,317,992,1004
2.144491,1004,806,424,122
2.146536,451,221,46,237
2.152525,112,722,996,962
2.158548,917,494,26,0
2.183141,145,176,650,998
2.183212,713,343,0,0
2.183313,98,640,992,878
2.183367,292,260,0,948
2.188538,920,503,72,0
2.194511,992,980,409,0
2.217068,133,407,984,864
2.217137,251,142,0,969
2.217188,1000,751,270,0
2.218503,122,692,994,705
2.224524,242,108,0,960
2.230515,988,979,435,0
2.255285,207,72,760,1000
2.255360,788,331,25,0
2.255408,64,960,1002,315
2.255463,162,168,770,1000
2.260487,409,173,0,532
2.266505,1001,668,139,0
2.288751,96,944,1000,366
2.288821,114,247,978,919
2.288877,255,128,952,1001
2.290504,200,948,1002,541
2.296600,187,80,920,1002
2.302529,928,1004,708,319
2.327834,883,435,38,37
2.327902,1002,810,312,187
2.327967,147,485,993,1005
2.328025,960,1004,658,501
2.332590,43,988,1004,820
2.338602,28,517,996,1006
2.361010,53,0,980,1004
2.361073,531,134,50,872
2.361126,0,948,1002,835
2.362520,977,479,238,318
2.368531,182,33,539,996
2.374526,7,978,1004,598
2.399755,27,35,988,1004
2.399830,569,151,245,0
2.399880,123,984,1004,516
2.399938,344,64,120,523
2.404552,792,1001,922,335
2.410548,491,170,152,0
2.433115,133,24,832,1001
2.433187,614,998,944,566
2.433243,0,962,1004,774
2.435456,304,25,144,930
2.441479,916,1004,852,342
2.447469,443,114,195,427
2.472552,15,395,992,994
2.472620,16,864,1000,772
2.472677,32,936,1002,750
2.472742,1004,482,291,44
2.477485,334,80,80,908
2.483468,792,1002,938,346
2.505946,277,100,160,928
2.506013,992,1002,598,120
2.506071,56,832,1000,910
2.507540,795,383,262,48
2.513535,116,116,732,998
2.519537,585,998,996,522
2.544479,1001,824,276,167
2.544561,315,215,0,483
2.544674,104,848,1000,906
2.544735,1002,830,266,206
2.549578,201,108,247,993
2.555547,958,450,48,232
2.578086,996,912,292,299
2.578153,64,944,1002,832
2.578209,298,84,18,968
2.579570,1004,611,261,266
2.585584,1004,603,268,296
2.591555,588,204,160,752
2.617431,386,124,128,960
2.617504,595,233,165,267
2.617559,970,1005,634,360
2.617617,388,155,99,257
2.622473,16,944,1004,806
2.628532,1004,582,300,177
2.651133,162,16,960,1004
2.651201,1002,693,437,192
2.651260,128,872,1002,946
2.652491,1000,821,384,234
2.658586,554,272,122,96
2.664528,191,132,686,1000
2.689820,896,1004,832,327
2.689893,952,528,185,36
2.689947,57,167,982,1004
2.690001,1004,650,322,116
2.694552,282,192,16,945
2.700631,88,720,996,973
2.726441,986,1005,514,290
2.726517,769,327,90,108
2.726576,824,1004,896,527
2.726639,928,1004,764,472
2.731476,250,195,48,976
2.737480,74,720,996,984
2.765741,632,998,986,492
2.765817,1002,822,347,99
2.765877,924,488,217,73
2.765932,741,311,207,97
2.767466,74,0,614,996
2.773483,0,880,1002,874
2.798653,900,1004,866,376
2.798728,688,216,168,16
2.798784,112,696,997,960
2.798842,419,992,1001,422
2.803490,606,248,104,0
2.809478,72,800,1000,784
2.837325,485,187,189,31
2.837399,545,996,1004,502
2.837461,519,129,177,35
2.837517,112,872,1002,917
2.839481,996,971,416,255
2.845666,195,120,0,968
2.870541,64,59,970,1004
2.870612,39,984,1004,700
2.870682,1002,800,368,223
2.870750,264,198,104,864
2.875586,136,191,984,1005
2.881606,972,1004,593,288
2.909163,316,152,0,768
2.909231,124,768,998,944
2.909358,754,1001,965,462
2.909422,1002,802,372,227
2.911541,198,80,35,977
2.917549,54,19,972,1004
2.942597,0,970,1004,699
2.942663,375,994,1004,562
2.942726,995,968,499,208
2.942785,430,134,121,303
2.947647,43,964,1004,702
2.954480,1002,899,474,204
2.982322,245,60,3,968
2.982388,88,776,1000,926
2.982449,928,1004,804,305
2.982511,1000,916,440,189
2.984468,386,197,117,5
2.990496,77,115,981,1004
3.015733,780,1002,939,419
3.015809,1004,617,206,32
3.015869,282,131,0,553
3.015922,516,996,995,437
3.020556,736,325,52,0
3.026486,239,73,247,986
3.054718,417,994,1004,551
3.054796,860,401,172,80
3.054854,233,159,79,976
3.054912,82,736,998,996
3.056516,992,998,506,307
3.062532,129,126,239,992
3.087779,988,1005,546,329
3.087857,86,56,840,1002
3.087916,16,952,1004,814
3.087974,996,968,472,129
3.092559,300,116,128,900
3.098634,940,1004,779,229
3.126826,275,77,96,912
3.126895,141,981,1004,493
3.126960,517,147,116,0
