timestamp_s,index,middle,ring,thumb
0.004575,1006,352,755,291
0.046912,1011,399,1000,569
0.096573,1008,615,232,0
0.098622,1013,889,1000,349
0.098723,1002,1008,714,0
0.098781,1010,1011,1011,256
0.098853,1008,1010,1011,419
0.098920,1011,1013,1009,697
0.098994,1012,1010,1010,587
0.099069,247,1004,1009,524
0.099143,994,995,327,0
0.099197,0,222,151,986
0.099257,149,242,0,1
0.099310,0,0,804,1000
0.099366,0,0,0,832
0.099404,240,0,0,0
0.099444,0,0,0,0
0.103271,0,0,0,932
0.109285,904,819,0,198
0.115356,0,0,0,152
0.121316,986,240,0,227
0.127218,834,906,0,317
0.152603,0,0,800,928
0.152709,0,0,0,984
0.152758,473,8,0,67
0.152801,0,980,9,494
0.156330,16,250,0,936
0.162286,976,988,0,328
0.186718,115,526,0,976
0.186817,980,992,0,624
0.186870,768,1003,476,700
0.186930,0,112,848,1002
0.192255,0,0,932,1004
0.198263,31,87,154,677
0.220214,965,918,564,393
0.220310,0,824,1000,860
0.220367,976,921,555,307
0.222263,992,765,449,247
0.228311,866,1002,735,348
0.234295,0,960,1002,674
0.260512,341,31,14,160
0.260628,126,0,0,968
0.260681,243,986,994,533
0.260739,416,34,0,864
0.264320,587,89,0,868
0.270228,361,309,988,958
0.292102,858,173,0,189
0.292182,632,992,909,304
0.292242,621,0,0,888
0.294213,617,216,2,271
0.300229,753,430,273,0
0.306213,992,978,642,0
0.330567,323,992,1005,28
0.330657,930,1004,858,0
0.330726,51,980,1004,319
0.330787,29,0,984,993
0.336223,704,1000,936,154
0.342211,1001,554,435,0
0.363868,881,411,355,0
0.363967,134,133,315,980
0.364118,776,1002,892,378
0.366243,568,1000,972,490
0.372241,554,307,442,816
0.378262,214,260,596,994
0.402589,210,300,872,1001
0.402674,271,330,800,1000
0.402740,356,335,333,992
0.402799,1002,787,485,261
0.408305,0,948,1004,804
0.414285,854,379,350,128
0.436537,217,108,660,996
0.436633,163,988,1004,626
0.436697,968,1006,781,316
0.438308,948,1005,810,393
0.445201,998,936,536,295
0.451204,634,1001,970,494
0.475550,28,532,992,992
0.475636,700,377,170,0
0.475685,880,1004,813,214
0.475741,0,952,1002,669
0.481357,545,294,195,0
0.487216,0,0,848,1000
0.507672,0,341,992,960
0.507743,1002,491,369,0
0.507797,1001,655,433,0
0.511184,816,1002,924,315
0.517222,183,144,810,1000
0.523215,460,260,217,483
0.547167,722,1002,956,462
0.547251,400,246,130,518
0.547318,80,928,1002,832
0.547376,737,254,0,78
0.553261,90,0,972,1004
0.559226,1000,618,0,170
0.581032,122,0,283,992
0.581103,980,906,3,269
0.581157,318,0,0,784
0.583210,0,916,966,732
0.589200,450,0,0,445
0.594272,958,16,0,0
0.618804,976,851,97,1
0.618869,224,884,986,396
0.618929,347,976,950,134
0.618988,344,0,976,944
0.624285,349,0,1013,451
0.630267,27,0,1000,692
0.652447,896,982,806,0
0.652519,0,0,0,0
0.652556,0,0,0,0
0.654221,443,993,919,167
0.660228,161,0,916,996
0.666223,68,491,1000,671
0.691348,996,601,1010,337
0.691439,342,181,1023,992
0.691505,166,255,1010,1011
0.691573,379,217,1015,1008
0.696302,992,0,1011,1010
0.702282,1010,0,1010,1011
0.725079,1010,0,1010,1010
0.725171,1010,0,1010,1010
0.725317,1010,0,1010,1011
0.726321,1011,0,1010,933
0.732293,1013,0,1009,692
0.739199,1014,0,1009,507
0.766346,1009,0,1010,384
0.766468,1002,752,1010,391
0.766540,612,1003,1008,579
0.766620,3,1013,1011,1009
0.769236,0,1011,1010,1011
0.775250,41,1011,1011,1011
0.798713,287,1011,1010,1011
0.798820,230,1009,1010,1010
0.798894,474,1011,1013,1010
0.800253,449,1010,1009,1010
0.806245,571,1009,1009,1011
0.812287,179,968,996,1008
0.839470,0,686,968,920
0.839586,27,553,928,756
0.839645,928,1004,0,0
0.839695,1009,519,0,0
0.842396,1010,433,0,0
0.848238,1010,856,0,0
0.870929,1010,717,0,0
0.871001,1010,861,0,0
0.871052,1014,1008,0,0
0.871304,1010,951,0,0
0.877299,383,1011,0,0
