timestamp_s,index,middle,ring,thumb
0.005446,386,208,960,388
0.056744,551,270,96,777
0.105366,350,222,161,962
0.107242,74,349,992,826
0.107324,0,503,994,848
0.107379,3,120,810,998
0.107431,6,178,461,988
0.107483,0,848,1000,654
0.107537,993,888,537,0
0.107588,167,157,704,992
0.107646,877,433,352,0
0.107697,489,248,208,768
0.107754,302,289,988,875
0.107811,944,436,140,0
0.107862,930,1002,689,0
0.107914,347,988,997,223
0.107969,352,968,1004,537
0.108028,1004,466,173,32
0.111360,294,570,996,944
0.117367,590,994,974,395
0.123466,912,1002,720,112
0.129304,858,1001,761,64
0.135395,666,998,932,150
0.162988,1000,776,480,0
0.163086,144,114,808,996
0.163167,916,1004,782,220
0.163255,699,486,210,231
0.165393,976,1005,477,397
0.171417,186,273,8,964
0.202275,998,596,275,33
0.202397,703,338,274,560
0.202455,985,460,255,0
0.202511,902,306,141,287
0.202569,521,8,834,885
0.207387,736,94,0,620
0.230496,980,985,415,0
0.230573,410,0,832,804
0.230624,912,1000,637,0
0.231426,992,900,480,0
0.237366,714,1001,941,575
0.243454,555,294,163,996
0.270103,0,992,974,1010
0.270205,276,545,722,1003
0.270269,929,976,636,1023
0.270330,948,1007,659,884
0.273370,0,312,784,1002
0.279358,938,1004,393,550
0.303232,269,993,883,611
0.303328,1000,736,224,115
0.303391,255,65,980,906
0.304280,1000,474,88,0
0.309351,740,992,812,0
0.315359,427,399,992,14
0.342042,501,0,293,968
0.342123,980,882,412,0
0.342177,988,146,102,0
0.342229,312,0,721,917
0.345354,160,928,1002,1
0.351345,96,820,1000,125
0.375278,992,790,252,0
0.375407,996,850,191,0
0.375476,12,235,421,996
0.375533,973,1005,391,436
0.381368,949,1004,585,514
0.387343,864,1004,805,576
0.414036,708,1002,866,875
0.414136,998,750,524,1011
0.414195,867,478,422,1023
0.414252,998,594,399,1011
0.418325,243,142,176,998
0.424291,0,836,1000,990
0.446502,0,0,936,1004
0.446569,966,985,510,464
0.446626,429,994,946,525
0.448283,0,928,1002,703
0.454276,964,1004,549,0
0.460277,0,80,858,1000
0.484938,992,623,207,0
0.485003,271,992,961,34
0.485060,0,148,826,1000
0.485186,41,192,896,1002
0.490288,41,514,998,1008
0.496296,985,781,722,1023
0.518926,204,356,992,1008
0.519001,868,1004,607,1011
0.519065,285,235,0,1000
0.520351,255,138,0,1000
0.526323,873,390,0,1011
0.532339,783,354,0,1013
0.558588,403,234,0,1008
0.558665,137,984,9,1010
0.558722,160,606,588,1009
0.558784,132,976,9,1010
0.562354,241,260,758,1006
0.568353,984,910,0,80
0.591999,961,397,0,0
0.592066,152,0,932,33
0.592118,942,203,0,0
0.592358,166,307,992,0
0.598308,747,120,15,0
0.604362,0,722,1000,0
0.631104,0,0,848,5
0.631169,882,321,580,0
0.631222,449,52,538,7
0.631271,0,0,996,1
0.633354,0,973,1006,0
0.639333,96,896,1004,0
0.663825,416,347,1022,3
0.663904,772,540,1015,4
0.663961,978,996,1010,0
0.664017,649,783,1018,2
0.669379,0,1011,1010,0
0.675349,237,1008,636,0
0.700744,0,1011,0,0
0.700820,0,1011,0,1011
0.700874,0,1011,0,1011
0.700927,0,1011,0,1011
0.705320,0,1011,0,1011
0.711292,0,1011,0,0
0.733084,1010,1011,0,0
0.733240,1010,1011,0,0
0.733297,1010,1011,0,0
0.734347,1010,1011,0,0
0.740362,1010,1011,0,0
0.746428,1009,1011,364,1010
0.773054,1010,1011,1010,1011
0.773171,1010,0,960,1010
0.773234,1008,0,350,1011
0.773297,1010,0,0,1011
0.777303,1010,0,0,1010
0.783280,450,0,1,1010
0.805899,540,1,0,1011
0.805970,891,0,0,1012
0.806024,486,0,0,1010
0.806374,376,0,1,1010
0.812366,828,0,0,1012
0.818374,986,0,0,1010
0.845193,1013,0,940,1013
0.845292,1010,0,1010,1011
0.845358,1010,0,1010,1011
0.845594,1010,0,1010,1011
0.848403,871,0,1010,1011
0.855294,8,0,1010,1011
0.878533,0,0,1010,1011
0.878620,0,0,1010,0
0.878667,0,0,1010,0
0.878712,0,0,1010,0
0.884390,0,0,1010,0
0.890392,0,0,1010,0
0.918295,186,1015,1008,0
0.918403,346,1010,1009,0
0.918465,0,1011,1010,0
0.918519,0,1011,1010,0
0.920314,576,1011,1010,0
0.926299,318,1011,1010,0
0.949264,0,1011,1010,0
0.949352,0,1013,974,0
0.949407,0,1011,0,0
0.950268,0,1011,0,0
0.955402,0,1011,0,0
0.961462,1010,1011,0,0
0.988496,1010,1011,1010,0
0.988614,1010,1011,0,1011
0.988678,1010,1011,0,1011
0.988740,1010,1011,0,1011
0.991388,1011,0,0,1011
0.997382,1011,0,0,1011
1.020199,1011,0,0,1011
1.020272,1010,0,0,1011
1.020327,1011,0,0,1011
1.021356,1011,0,0,1011
1.027362,1011,0,0,1011
1.033360,1011,0,0,1011
1.059635,1011,0,0,1011
1.059718,1011,0,0,1011
1.059773,1011,0,509,1010
1.059845,905,0,1010,1011
1.063364,0,0,1010,1011
1.069365,0,0,1010,1011
1.092231,0,0,1010,1011
1.092409,0,0,1010,1011
1.092468,0,0,1010,1011
1.093329,0,0,1010,1011
1.099286,0,0,1010,1011
1.105294,0,0,1010,1011
1.131557,0,0,1010,1011
1.131641,0,517,1013,1010
1.131711,0,1011,1011,1011
1.131773,0,1011,1010,1011
1.135303,0,1011,1011,1011
1.141344,0,1011,1011,1011
1.163923,0,1011,1010,1011
1.164003,0,1011,1011,1011
1.164069,0,1011,1011,1011
1.165371,0,1011,1011,1011
1.171375,0,1011,1010,1011
1.178304,0,1011,1011,1011
1.204290,0,1012,1010,1008
1.204378,933,1011,1013,1009
1.204449,955,1011,1012,1012
1.204638,138,216,1000,1008
1.208355,19,193,419,1013
1.214366,0,185,164,1023
1.236931,0,1001,554,1011
1.237008,0,1004,0,1012
1.237065,0,1011,0,1011
1.238350,0,1011,0,1011
