timestamp_s,index,middle,ring,thumb
0.004881,972,856,476,413
0.057195,678,478,301,440
0.105335,0,0,864,1003
0.107429,986,643,293,615
0.107517,978,850,416,701
0.107577,988,836,393,745
0.107638,928,1004,666,722
0.107695,745,117,0,984
0.107756,742,84,383,996
0.107820,804,107,33,976
0.107872,519,880,1002,317
0.107933,901,231,32,850
0.107992,465,960,1004,3
0.108045,992,964,409,0
0.108098,992,932,381,0
0.108145,840,1000,799,0
0.108195,546,79,0,431
0.108239,283,23,964,720
0.112845,192,944,1002,389
0.118864,192,876,1002,912
0.124954,161,968,1004,944
0.130917,1002,732,307,978
0.136936,832,1002,805,1011
0.163746,514,680,1000,1009
0.163856,638,178,710,1004
0.163921,878,285,96,1000
0.163981,1004,526,215,1023
0.167892,1004,565,209,1023
0.173827,607,0,780,1004
0.199611,1004,434,40,516
0.199716,505,55,984,1006
0.199776,499,0,928,1003
0.199831,1000,746,254,0
0.203856,556,8,0,880
0.209838,846,272,28,0
0.233246,88,682,996,814
0.233325,0,527,992,974
0.233381,44,154,0,984
0.233432,1,116,488,1000
0.238923,0,150,976,1008
0.244982,206,998,805,1011
0.273473,0,284,738,1002
0.273562,0,720,996,1009
0.273621,984,902,336,1011
0.273684,452,0,960,1006
0.275877,366,0,864,1005
0.281870,0,0,0,1011
0.303944,0,0,770,1002
0.304029,1008,0,406,1013
0.304092,0,203,288,998
0.304930,1010,1013,376,1010
0.311859,671,513,0,1023
0.317827,0,298,0,1011
0.342878,5,780,659,1011
0.342967,5,710,820,1012
0.343023,0,435,773,1008
0.343077,3,924,844,1015
0.347823,0,426,820,1008
0.353813,0,400,651,1006
0.374403,0,565,490,1005
0.374556,751,872,1005,1010
0.374624,1004,960,709,729
0.377836,998,997,708,0
0.383827,1010,68,904,685
0.389838,1008,315,294,0
0.414541,1020,998,820,0
0.414631,1010,376,902,1
0.414689,1010,467,998,0
0.414744,1004,813,438,0
0.419884,1005,651,336,0
0.425852,1004,1004,553,0
0.447588,1008,567,156,0
0.447665,1023,988,824,0
0.447723,1010,470,215,3
0.449855,1015,952,997,0
0.455842,1007,589,42,0
0.461840,1009,362,18,0
0.485397,1010,216,16,938
0.485481,80,848,1000,2
0.485537,0,84,658,936
0.485900,412,997,757,0
0.491826,0,936,1001,0
0.497831,0,131,194,942
0.518834,0,177,128,876
0.518907,0,182,120,608
0.518959,0,250,132,0
0.520873,0,421,208,0
0.526890,0,0,0,0
0.532886,0,0,205,964
0.558245,478,417,195,0
0.558321,0,0,968,76
0.558367,0,0,16,930
0.558410,0,0,788,1000
0.561918,970,823,391,1011
0.568838,761,172,97,1011
0.591412,978,231,220,1011
0.591497,0,0,150,1013
0.591552,0,0,212,1011
0.592815,0,0,454,1011
0.597943,0,1011,529,1013
0.604062,0,1013,461,1010
0.630072,1,1010,248,1011
0.630156,0,646,191,1020
0.630215,0,358,1004,1010
0.630273,0,554,1008,1010
0.634857,0,395,1006,1010
