timestamp_s,index,middle,ring,thumb
0.003923,980,1008,661,208
0.053005,677,1002,912,385
0.103470,947,603,138,104
0.118769,966,565,163,256
0.118859,250,178,111,992
0.118915,912,1004,695,488
0.118971,91,752,992,1000
0.119025,320,492,95,992
0.119076,966,780,74,40
0.119124,0,986,1004,639
0.119175,1002,872,208,49
0.119229,612,430,20,0
0.119274,16,964,1004,676
0.119327,949,1004,676,202
0.119383,346,0,44,584
0.119428,64,842,1000,717
0.119481,737,1,133,0
0.119522,773,0,94,0
0.119561,188,0,848,1000
0.119611,1003,114,167,0
0.123018,128,848,1000,586
0.128879,490,0,20,0
0.134959,128,457,993,840
0.161550,428,0,38,556
0.161655,912,1001,727,204
0.161726,215,0,820,1000
0.161791,1003,297,245,102
0.164920,150,0,982,1004
0.170979,809,134,161,108
0.192422,64,864,1002,852
0.192513,1002,800,389,217
0.192576,449,230,129,128
0.194952,230,186,572,1000
0.201001,784,1002,972,513
0.206949,954,1004,724,339
0.231524,505,181,48,295
0.231623,109,417,992,1005
0.231686,1002,673,297,179
0.231872,195,0,784,1001
0.237877,1004,425,206,257
0.243953,1004,388,179,253
0.264767,797,143,95,224
0.264842,994,809,393,313
0.264904,12,700,998,924
0.267889,407,0,20,570
0.273872,207,984,1000,567
0.279877,613,0,23,32
0.303580,278,0,0,898
0.303642,139,0,980,966
0.303694,996,691,340,0
0.303743,241,0,950,1002
0.308951,431,0,40,820
0.317232,1001,567,323,0
0.339277,87,970,1003,354
0.339377,233,111,421,986
0.339436,703,383,230,0
0.339487,510,1000,1005,490
0.345902,91,223,564,996
0.351856,989,1006,628,279
0.372794,0,778,998,974
0.372946,998,942,471,212
0.373004,56,128,932,1004
0.375857,992,988,527,289
0.381871,156,90,259,992
0.387873,964,1005,703,398
0.412509,96,0,980,1004
0.412591,435,140,109,614
0.412650,996,961,478,324
0.412722,52,0,960,1004
0.417888,223,992,1004,675
0.423894,1002,665,324,150
0.445801,317,21,69,167
0.445872,73,0,800,1000
0.445927,0,916,1001,716
0.447903,992,781,467,103
0.453957,166,0,335,988
0.459985,524,992,967,384
0.485754,212,0,181,980
0.485839,1000,383,321,0
0.485897,166,0,976,1000
0.486068,517,0,102,531
0.489961,1002,478,267,0
0.495952,142,159,984,896
0.518834,431,0,56,490
0.518922,960,1004,603,0
0.518982,299,0,8,929
0.519902,91,976,1004,520
0.525901,1004,537,224,75
0.531900,246,56,16,976
0.560027,976,1005,645,421
0.560131,1002,548,200,322
0.560193,94,0,904,1002
0.560245,976,708,368,483
0.561993,20,672,996,941
0.567952,74,562,996,959
0.590583,66,932,829,770
0.590659,264,0,768,1001
0.590724,669,0,0,730
0.591927,984,3,0,172
0.597876,512,0,576,998
0.603947,780,0,0,972
0.629590,982,0,0,21
0.629655,992,563,0,0
0.629702,892,992,368,161
