timestamp_s,index,middle,ring,thumb
0.004218,253,992,1004,493
0.064203,192,960,1004,785
0.064318,1000,823,345,31
0.064379,1004,575,231,0
0.064433,213,287,988,982
0.064489,680,1000,880,143
0.064553,900,397,184,0
0.064604,128,937,1004,818
0.064670,805,255,81,156
0.064723,934,491,242,389
0.064779,183,988,1004,737
0.069453,1004,550,155,359
0.075454,104,972,1004,906
0.081459,0,852,1000,887
0.087489,43,984,1004,668
0.152356,222,232,976,1005
0.152491,0,664,996,862
0.152553,988,1005,612,139
0.152613,132,520,992,1005
0.152675,776,1004,867,559
0.152820,924,836,296,976
0.152879,244,529,985,1006
0.152942,992,961,464,1011
0.153000,844,1006,826,1011
0.153064,964,993,522,1011
0.154407,789,1004,754,994
0.160482,471,211,24,884
0.166441,0,896,1000,785
0.172461,575,252,148,0
0.212895,944,1004,747,8
0.213008,194,160,133,960
0.213064,920,709,399,480
0.213118,146,316,415,985
0.213171,0,972,1002,318
0.213224,221,535,976,1004
0.214444,996,972,311,75
0.220461,558,1000,917,440
0.226469,1004,710,153,126
0.232499,1002,554,63,27
0.238455,928,1004,694,296
0.244532,62,716,993,1000
0.250416,0,896,1000,813
0.256441,1001,1008,489,8
0.296598,832,1004,845,108
0.296705,204,719,896,1000
0.296763,518,1011,312,880
0.296820,996,1009,433,0
0.296875,432,1011,276,826
0.296941,428,1008,0,0
0.299374,333,1011,0,1
0.305362,399,1019,844,3
0.311393,303,1011,0,0
0.317376,624,1011,0,0
0.322442,363,1023,832,768
0.329363,398,1000,89,11
0.335355,167,1011,0,645
0.341375,1000,1010,0,275
0.384355,966,1007,591,557
0.384486,772,1011,1010,1012
0.384554,671,1011,1012,1008
0.384705,412,1009,1009,1010
0.384775,368,1011,1008,1010
0.384839,766,1010,1010,1011
0.384903,298,1011,1008,1010
0.390369,538,1013,1012,1008
0.396405,320,976,1008,1010
0.402427,554,0,1011,1012
0.408385,543,0,1009,1009
0.414420,355,0,1008,1010
0.420465,225,2,1008,823
0.426464,880,0,1010,400
0.471610,889,0,1010,100
0.471703,131,0,0,0
0.471744,73,0,374,994
0.471792,980,1,0,0
0.471831,268,10,2,27
0.471877,619,0,0,0
0.471918,518,0,0,0
0.473407,292,7,1,94
0.479440,728,0,0,0
0.485436,1000,0,0,0
0.491347,190,0,868,744
0.497364,0,0,980,149
0.502441,285,0,0,0
0.508434,847,1011,358,23
0.514459,176,1008,1002,0
0.565996,816,1010,0,0
0.566145,278,497,5,1
0.566196,976,0,0,0
0.566239,333,0,0,0
0.566278,976,924,0,0
0.566322,994,1008,0,0
0.566369,972,1010,0,0
0.566416,195,1022,111,804
0.568354,24,1008,761,974
0.574408,208,760,994,1008
0.580366,288,0,1002,1006
0.586397,320,0,1012,1006
0.592415,557,0,1008,1010
0.598389,329,0,1007,1010
0.644674,340,1,1009,1011
0.644812,391,0,1008,1010
0.644872,384,0,1009,1010
0.644929,829,0,1010,1011
0.644985,706,0,1010,1011
0.645041,286,0,1008,1009
0.645099,849,0,1010,1013
0.646455,417,2,954,1010
0.652454,0,0,960,1006
0.658460,808,7,461,412
0.664432,988,1,0,17
0.670437,0,115,984,691
0.676387,74,0,978,680
0.682390,992,779,189,0
0.728918,253,812,976,71
