timestamp_s,index,middle,ring,thumb
0.005139,1001,1001,308,1023
0.055386,978,1008,411,1011
0.103551,581,661,18,1000
0.120710,974,807,122,1023
0.120815,7,992,948,1011
0.120881,335,1000,796,1011
0.120957,64,896,1001,1010
0.121017,817,478,113,1023
0.121076,135,992,951,1011
0.121135,184,848,1000,1010
0.121197,528,348,16,1008
0.121252,221,175,361,1004
0.121310,128,960,1002,1011
0.121371,820,1004,629,1011
0.121434,996,583,155,1011
0.121499,218,208,844,1005
0.121558,996,784,207,1011
0.121620,616,395,28,1023
0.121685,948,1005,471,1011
0.121758,160,820,1000,1009
0.124623,487,308,20,1004
0.130497,758,1002,726,1011
0.136541,348,267,53,1001
0.161119,980,979,461,1011
0.161216,199,212,944,1006
0.161277,792,1004,709,1011
0.161340,966,556,197,1011
0.166578,777,420,155,1015
0.172553,560,307,119,1023
0.196786,246,211,72,1000
0.196881,206,198,634,1004
0.196945,170,768,1000,1009
0.197504,922,507,147,1011
0.203493,268,200,578,1004
0.209499,597,1000,822,1011
0.231502,776,382,143,1011
0.231596,518,266,132,1023
0.231662,336,181,102,1000
0.233551,186,984,980,1011
0.239574,982,946,487,1011
0.245610,1001,662,316,1011
0.272287,778,177,8,63
0.272372,86,0,577,994
0.272425,804,1000,743,0
0.272483,139,0,459,850
0.275558,657,217,96,0
0.281568,1003,530,202,0
0.303903,0,880,1000,0
0.303983,439,231,103,0
0.304040,537,256,109,0
0.305565,648,295,153,0
0.311561,264,924,1004,0
0.317546,1004,643,358,0
0.346141,657,305,230,0
0.346240,439,188,160,0
0.346296,509,201,136,0
0.346351,741,314,153,0
0.347548,681,306,135,0
0.353563,744,396,170,0
0.374828,794,437,165,0
0.374961,518,331,117,0
0.375017,243,232,72,7
0.377469,77,168,972,2
0.383476,170,202,748,3
0.389462,285,227,99,5
0.412080,453,300,128,7
0.412152,131,197,976,2
0.412201,111,564,996,0
0.412529,131,183,986,1
0.418537,225,154,64,7
0.424553,1001,623,288,0
0.445570,0,864,1001,0
0.445634,852,396,218,0
0.445686,0,960,1003,0
0.448521,580,288,130,0
0.454552,0,936,1002,0
0.460501,327,169,122,3
0.485136,612,256,182,0
0.485210,559,209,163,0
0.485265,988,460,213,0
0.485400,64,872,1000,0
0.490514,241,51,32,960
0.496493,922,403,205,0
0.518606,80,844,1000,802
0.518692,76,964,1004,891
0.518754,400,222,413,1003
0.520516,496,262,227,1000
0.526483,954,1005,636,1011
0.532596,971,507,276,1010
0.560536,988,926,502,1011
0.560631,996,825,420,1011
0.560695,458,998,840,1011
0.560760,81,976,1004,1010
0.562559,111,984,977,1010
0.569456,135,985,961,1010
0.592444,882,1004,675,1011
0.592533,718,1002,805,1011
0.592601,952,1005,594,1011
0.593520,952,1004,583,1011
0.599582,996,795,299,628
0.605642,128,45,0,0
0.632238,0,936,1002,0
0.632315,32,949,1004,0
0.632371,960,1005,629,0
0.632436,972,990,574,0
0.635495,64,928,1002,0
0.641509,48,908,1002,0
0.664636,132,149,988,1
0.664709,238,155,128,7
0.664765,583,294,202,0
0.665486,696,330,266,0
0.671475,978,965,676,1011
0.677473,1002,571,455,1011
0.704139,986,717,574,1011
0.704251,159,264,497,505
0.704312,0,0,984,2
